distance_km,time_min,time_h,speed_kmh
0.1,0.18,0.003,33.333333333333336
0.2,0.361446,0.0060241,33.199980080011954
0.3,0.6,0.01,30.0
0.355556,0.666667,0.011111116666666667,32.000023999987995
0.4,0.76,0.012666666666666666,31.578947368421055
0.5,0.9,0.015000000000000001,33.33333333333333
0.6,1.216667,0.020277783333333334,29.589032989306027
0.8,1.666667,0.02777778333333333,28.79999424000116
1.0,2.191667,0.03652778333333333,27.37642169179899
1.33,3.0,0.05,26.6
1.5,3.433333,0.05722221666666667,26.21359477801891
1.6,3.69,0.0615,26.01626016260163
1.609,3.713333,0.06188888333333333,25.99820700163438
2.0,4.716667,0.07861111666666667,25.441694315074603
2.4135,5.801667,0.09669445,24.960067511630708
3.0,7.383333,0.12305555,24.379233606285943
3.2,7.84,0.13066666666666665,24.48979591836735
3.218,7.89,0.1315,24.47148288973384
4.0,10.083333,0.16805555,23.80165367939351
4.827,12.35,0.20583333333333334,23.451012145748987
5.0,12.883333,0.21472221666666666,23.28589969691849
5.8125,15.0,0.25,23.25
6.0,15.6,0.26,23.076923076923077
6.436,16.75,0.2791666666666667,23.054328358208956
8.0,21.25,0.3541666666666667,22.588235294117645
8.045,21.5333,0.35888833333333336,22.41644336910738
10.0,26.76667,0.44611116666666667,22.415937432635438
12.0,32.55,0.5425,22.119815668202765
15.0,41.48333,0.6913888333333333,21.695461767413562
16.09,44.75,0.7458333333333333,21.573184357541898
20.0,56.4333,0.940555,21.264040912014714
21.097,59.6833,0.9947216666666667,21.208947896647807
21.3,60.0,1.0,21.3
24.135,69.6667,1.1611116666666668,20.786114456404565
25.0,71.7,1.195,20.920502092050206
30.0,87.2,1.4533333333333334,20.642201834862384
32.18,90.95,1.5158333333333334,21.229246838922485
40.225,112.1833,1.8697216666666667,21.51389734479196
42.195,125.6167,2.0936116666666664,20.15416739971676
50.0,152.3667,2.539445,19.689341568728597
80.45,278.7,4.645,17.319698600645857
100.0,367.18283,6.119713833333334,16.340633356957348
160.9,725.2667,12.087778333333334,13.310965469667916
